map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,2.843,3.486,-1.0,749742,1378.5,710,562,111,1920,1080
Eskinita,Balanced,120,3.432,5.352,-1.0,811311,1329.9,710,562,111,1920,1080
Eskinita,High,120,3.872,9.702,-1.0,1023412,1354.0,710,562,111,1920,1080
BayanPlaza,Low,120,2.512,2.720,-1.0,606811,721.9,222,168,99,1920,1080
BayanPlaza,Balanced,120,3.141,3.270,-1.0,648800,729.9,222,168,99,1920,1080
BayanPlaza,High,120,3.405,3.527,-1.0,781822,740.5,222,168,99,1920,1080
IlalimNgTulay,Low,120,4.632,5.498,-1.0,1214067,3461.3,1416,392,702,1920,1080
IlalimNgTulay,Balanced,120,5.147,5.403,-1.0,1458040,3574.0,1416,392,702,1920,1080
IlalimNgTulay,High,120,6.624,6.877,-1.0,1697199,3590.2,1416,392,702,1920,1080
SaBubong,Low,120,3.082,3.185,-1.0,646213,504.5,184,127,64,1920,1080
SaBubong,Balanced,120,3.701,3.803,-1.0,669244,502.8,184,127,64,1920,1080
SaBubong,High,120,3.972,4.097,-1.0,803083,526.6,184,127,64,1920,1080
Lagoon,Low,120,3.237,3.408,-1.0,807071,783.5,182,54,132,1920,1080
Lagoon,Balanced,120,3.913,4.069,-1.0,878561,822.1,182,54,132,1920,1080
Lagoon,High,120,4.196,4.478,-1.0,1086980,862.8,182,54,132,1920,1080
