time,elapsed,local,host,s1charges,s2active,s2cooldown,ultcharge,casterX,casterY,casterZ,frontX,frontY,frontZ,rearX,rearY,rearZ,frontTrip,frontStun,casterStun,ward,pillars,shoeX,shoeY,shoeZ,guardTested,afterTested,tremor,plating,orbitStones,rumble,pendingReview,pendingRefreshed,expiredRefreshed,windup,impactBirths,heroIndex,casterPick,casterMode
11.5695362545674,0.4399261,2,0,2,0,0,12,0,0.01000081,-8,1.3,0.12,-8,0,0.01000314,-9.3,0,0,0,0,0,1.8,0.145,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.6199324870979,0.4999161,2,0,2,0,0,12,0,0.0100001,-8,1.3,0.12,-8,0,0.01000041,-9.3,0,0,0,0,0,1.8,0.145,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.6866400904146,0.559906,2,0,2,0,0,12,0,0.01000001,-8,1.3,0.12,-8,0,0.01000005,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.7533071977024,0.6398926,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.01,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.8199738088002,0.7198792,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.8866407130969,0.7798691,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.9533074975324,0.8598557,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12.0197021431041,0.9198456,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12.0860068964524,0.9798355,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12.1520070308199,1.059822,2,0,2,0,0,12,0,0.009999998,-8,1.3,0.12,-8,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,0,0,1
