frame,real_seconds,game_seconds,speed,held,leg_angle,action
0,0.0693,0.0051,0.0000,True,0.000,holding-right
1,0.1362,0.0755,0.0000,True,0.000,holding-right
2,0.2023,0.1425,0.0000,True,0.000,holding-right
3,0.2686,0.2087,0.0000,True,0.000,holding-right
4,0.3358,0.2757,0.0000,True,0.000,holding-right
5,0.3999,0.3422,0.0000,True,0.000,holding-right
6,0.4632,0.4057,0.0000,True,0.000,holding-right
7,0.5288,0.4694,0.0000,True,0.000,holding-right
8,0.5824,0.5375,0.0000,True,0.000,holding-right
9,0.6294,0.5883,0.0000,True,0.000,holding-right
10,0.6777,0.6387,0.0000,True,0.000,holding-right
11,0.7357,0.6915,0.0000,True,0.000,hero-cheska-raise
12,0.7893,0.7449,0.0000,True,2.504,hero-cheska-raise
13,0.8430,0.7987,0.0000,True,2.989,hero-cheska-raise
14,0.8960,0.8522,0.0000,True,2.989,hero-cheska-raise
15,0.9496,0.9046,0.0000,True,2.989,hero-cheska-raise
16,1.0007,0.9557,0.0000,True,2.989,hero-cheska-raise
17,1.0537,1.0068,0.0000,True,2.989,hero-cheska-raise
18,1.1094,1.0601,0.0000,True,2.903,hero-cheska-raise
19,1.1630,1.1169,0.0000,True,2.378,hero-cheska-raise
20,1.2146,1.1691,0.0000,True,1.527,hero-cheska-raise
21,1.2718,1.2211,0.0000,True,0.726,hero-cheska-raise
22,1.3230,1.2779,0.0000,True,0.149,hero-cheska-raise
23,1.3757,1.3294,0.0000,True,0.000,hero-cheska-raise
24,1.4269,1.3817,0.0000,True,0.002,holding-right
25,1.4795,1.4335,0.0000,True,0.001,holding-right
26,1.5325,1.4859,0.0000,True,0.000,holding-right
27,1.5860,1.5386,0.0000,True,0.000,holding-right
28,1.6367,1.5934,0.0000,True,0.000,holding-right
29,1.6884,1.6427,0.0000,True,0.000,holding-right
30,1.7402,1.6947,0.0000,True,0.000,holding-right
31,1.7924,1.7478,0.0000,True,0.000,holding-right
32,1.8492,1.7985,0.0000,True,0.000,holding-right
33,1.8999,1.8554,0.0000,True,0.000,holding-right
34,1.9502,1.9074,0.0000,True,0.000,holding-right
35,1.9998,1.9560,0.0000,True,0.000,holding-right
36,2.0542,2.0091,0.0000,True,0.000,holding-right
37,2.1049,2.0602,0.0000,True,0.000,holding-right
38,2.1567,2.1117,0.0000,True,0.000,holding-right
39,2.2114,2.1626,0.0000,True,0.000,holding-right
40,2.2668,2.2175,0.0000,True,0.000,holding-right
41,2.3217,2.2733,0.0000,True,0.000,holding-right
42,2.3746,2.3278,0.0000,True,0.000,holding-right
43,2.4300,2.3808,0.0000,True,0.000,holding-right
44,2.4844,2.4360,0.0000,True,0.000,holding-right
45,2.5368,2.4908,0.0000,True,0.000,holding-right
46,2.5930,2.5431,0.0000,True,0.000,holding-right
47,2.6551,2.5993,0.0000,True,0.000,holding-right
48,2.7144,2.6616,0.0000,True,0.000,holding-right
49,2.7713,2.7207,0.0000,True,0.000,holding-right
50,2.8310,2.7778,0.0000,True,0.000,holding-right
51,2.8929,2.8375,0.0000,True,0.000,holding-right
52,2.9523,2.8997,0.0000,True,0.000,holding-right
53,3.0082,2.9585,0.0000,True,0.000,holding-right
54,3.0746,3.0150,0.0000,True,0.000,holding-right
55,3.1320,3.0825,0.0000,True,0.000,holding-right
56,3.1921,3.1397,0.0000,True,0.000,holding-right
57,3.2499,3.1980,0.0000,True,0.000,holding-right
