frame,real_seconds,game_seconds,speed,held,leg_angle,action
0,0.0697,0.0043,0.0000,True,0.000,holding-right
1,0.1339,0.0744,0.0000,True,0.000,holding-right
2,0.2039,0.1389,0.0000,True,0.000,holding-right
3,0.2691,0.2087,0.0000,True,0.000,holding-right
4,0.3677,0.2772,0.0000,True,0.000,hero-cheska-nova
5,0.4417,0.2964,0.0000,True,0.000,hero-cheska-nova
6,0.5546,0.3703,0.0000,True,0.268,hero-cheska-nova
7,0.6326,0.4830,0.0000,True,2.357,hero-cheska-nova
8,0.7025,0.5608,0.0000,True,3.062,hero-cheska-nova
9,0.7583,0.6311,0.0000,True,3.843,hero-cheska-nova
10,0.8218,0.6870,0.0000,True,4.892,hero-cheska-nova
11,0.8772,0.7499,0.0000,True,4.900,hero-cheska-nova
12,0.9329,0.8055,0.0000,True,4.908,hero-cheska-nova
13,0.9891,0.8626,0.0000,True,4.048,hero-cheska-nova
14,1.0436,0.9176,0.0000,True,2.316,hero-cheska-nova
15,1.0984,0.9721,0.0000,True,1.828,hero-cheska-nova
16,1.1511,1.0265,0.0000,True,1.026,hero-cheska-nova
17,1.2031,1.0794,0.0000,True,0.191,hero-cheska-nova
18,1.2584,1.1313,0.0000,True,0.000,hero-cheska-nova
19,1.3117,1.1865,0.0000,True,0.003,holding-right
20,1.3665,1.2400,0.0000,True,0.002,holding-right
21,1.4233,1.2993,0.0000,True,0.000,holding-right
22,1.4867,1.3618,0.0000,True,0.000,holding-right
23,1.5382,1.4148,0.0000,True,0.000,holding-right
24,1.5907,1.4684,0.0000,True,0.000,holding-right
25,1.6428,1.5189,0.0000,True,0.000,holding-right
26,1.6941,1.5711,0.0000,True,0.000,holding-right
27,1.7477,1.6240,0.0000,True,0.000,holding-right
28,1.8003,1.6773,0.0000,True,0.000,holding-right
29,1.8520,1.7287,0.0000,True,0.000,holding-right
30,1.9053,1.7801,0.0000,True,0.000,holding-right
31,1.9593,1.8349,0.0000,True,0.000,holding-right
32,2.0129,1.8876,0.0000,True,0.000,holding-right
33,2.0651,1.9414,0.0000,True,0.000,holding-right
34,2.1194,1.9937,0.0000,True,0.000,holding-right
35,2.1719,2.0477,0.0000,True,0.000,holding-right
36,2.2263,2.1010,0.0000,True,0.000,holding-right
37,2.2807,2.1565,0.0000,True,0.000,holding-right
38,2.3362,2.2090,0.0000,True,0.000,holding-right
39,2.3917,2.2645,0.0000,True,0.000,holding-right
40,2.4472,2.3201,0.0000,True,0.000,holding-right
41,2.5000,2.3771,0.0000,True,0.000,holding-right
42,2.5540,2.4284,0.0000,True,0.000,holding-right
43,2.6086,2.4824,0.0000,True,0.000,holding-right
44,2.6628,2.5370,0.0000,True,0.000,holding-right
45,2.7165,2.5921,0.0000,True,0.000,holding-right
46,2.7702,2.6450,0.0000,True,0.000,holding-right
47,2.8223,2.6989,0.0000,True,0.000,holding-right
48,2.8748,2.7504,0.0000,True,0.000,holding-right
49,2.9301,2.8035,0.0000,True,0.000,holding-right
50,2.9827,2.8582,0.0000,True,0.000,holding-right
51,3.0353,2.9110,0.0000,True,0.000,holding-right
52,3.0883,2.9651,0.0000,True,0.000,holding-right
53,3.1392,3.0166,0.0000,True,0.000,holding-right
54,3.1905,3.0680,0.0000,True,0.000,holding-right
55,3.2431,3.1187,0.0000,True,0.000,holding-right
