bird,view,seconds,x,y,z,visible,state
maya,before,0.002,-3.000,0.103,4.000,True,idle|wait=29.95|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.068,-3.000,0.103,4.000,True,idle|wait=29.74|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.100,-3.000,0.103,4.000,True,idle|wait=29.68|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.103,-3.000,0.103,4.000,True,idle|wait=29.65|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.106,-3.000,0.103,4.000,True,idle|wait=29.65|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.108,-3.000,0.103,4.000,True,idle|wait=29.65|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.111,-3.000,0.103,4.000,True,idle|wait=29.64|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.114,-3.000,0.103,4.000,True,idle|wait=29.64|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.117,-3.000,0.103,4.000,True,idle|wait=29.64|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.122,-3.000,0.103,4.000,True,idle|wait=29.64|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.164,-3.000,0.103,4.000,True,idle|wait=29.63|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.167,-3.000,0.103,4.000,True,idle|wait=29.59|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.173,-3.000,0.103,4.000,True,idle|wait=29.59|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.204,-3.000,0.103,4.000,True,idle|wait=29.58|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.208,-3.000,0.103,4.000,True,idle|wait=29.55|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.211,-3.000,0.103,4.000,True,idle|wait=29.54|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.214,-3.000,0.103,4.000,True,idle|wait=29.54|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.218,-3.000,0.103,4.000,True,idle|wait=29.54|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.221,-3.000,0.103,4.000,True,idle|wait=29.54|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.226,-3.000,0.103,4.000,True,idle|wait=29.53|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.271,-3.000,0.103,4.000,True,idle|wait=29.52|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.273,-3.000,0.103,4.000,True,idle|wait=29.48|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.278,-3.000,0.103,4.000,True,idle|wait=29.48|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.306,-3.000,0.103,4.000,True,idle|wait=29.47|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.310,-3.000,0.103,4.000,True,idle|wait=29.45|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.312,-3.000,0.103,4.000,True,idle|wait=29.44|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.315,-3.000,0.103,4.000,True,idle|wait=29.44|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.320,-3.000,0.103,4.000,True,idle|wait=29.44|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.322,-3.000,0.103,4.000,True,idle|wait=29.43|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.325,-3.000,0.103,4.000,True,idle|wait=29.43|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.329,-3.000,0.103,4.000,True,idle|wait=29.43|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.366,-3.000,0.103,4.000,True,idle|wait=29.42|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.373,-3.000,0.103,4.000,True,idle|wait=29.39|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.379,-3.000,0.103,4.000,True,idle|wait=29.38|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.382,-3.000,0.103,4.000,True,idle|wait=29.37|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.418,-3.000,0.103,4.000,True,idle|wait=29.36|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.421,-3.000,0.103,4.000,True,idle|wait=29.34|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.424,-3.000,0.103,4.000,True,idle|wait=29.33|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.426,-3.000,0.103,4.000,True,idle|wait=29.33|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.429,-3.000,0.103,4.000,True,idle|wait=29.33|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.433,-3.000,0.103,4.000,True,idle|wait=29.32|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.468,-3.000,0.103,4.000,True,idle|wait=29.32|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.471,-3.000,0.103,4.000,True,idle|wait=29.29|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.473,-3.000,0.103,4.000,True,idle|wait=29.28|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.476,-3.000,0.103,4.000,True,idle|wait=29.28|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.484,-3.000,0.103,4.000,True,idle|wait=29.28|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.529,-3.000,0.103,4.000,True,idle|wait=29.26|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.533,-3.000,0.103,4.000,True,idle|wait=29.23|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.540,-3.000,0.103,4.000,True,idle|wait=29.22|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.580,-3.000,0.103,4.000,True,idle|wait=29.21|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.584,-3.000,0.103,4.000,True,idle|wait=29.17|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.597,-3.000,0.103,4.000,True,idle|wait=29.17|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.640,-3.000,0.103,4.000,True,idle|wait=29.15|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.646,-3.000,0.103,4.000,True,idle|wait=29.11|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.649,-3.000,0.103,4.000,True,idle|wait=29.11|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.688,-3.000,0.103,4.000,True,idle|wait=29.10|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.691,-3.000,0.103,4.000,True,idle|wait=29.07|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.697,-3.000,0.103,4.000,True,idle|wait=29.06|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.700,-3.000,0.103,4.000,True,idle|wait=29.06|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.741,-3.000,0.103,4.000,True,idle|wait=29.05|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.745,-3.000,0.103,4.000,True,idle|wait=29.01|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.750,-3.000,0.103,4.000,True,idle|wait=29.01|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.779,-3.000,0.103,4.000,True,peck|wait=29.00|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.782,-3.000,0.103,4.000,True,peck|wait=28.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.784,-3.000,0.103,4.000,True,peck|wait=28.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.786,-3.000,0.103,4.000,True,peck|wait=28.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.789,-3.000,0.103,4.000,True,peck|wait=28.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.791,-3.000,0.103,4.000,True,peck|wait=28.96|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.793,-3.000,0.103,4.000,True,peck|wait=28.96|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.795,-3.000,0.103,4.000,True,peck|wait=28.96|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.802,-3.000,0.103,4.000,True,peck|wait=28.96|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.835,-3.000,0.103,4.000,True,peck|wait=28.95|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.839,-3.000,0.103,4.000,True,peck|wait=28.92|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.841,-3.000,0.103,4.000,True,peck|wait=28.91|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.843,-3.000,0.103,4.000,True,peck|wait=28.91|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.846,-3.000,0.103,4.000,True,peck|wait=28.91|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.849,-3.000,0.103,4.000,True,peck|wait=28.91|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.852,-3.000,0.103,4.000,True,peck|wait=28.90|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.854,-3.000,0.103,4.000,True,peck|wait=28.90|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.889,-3.000,0.103,4.000,True,peck|wait=28.89|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.891,-3.000,0.103,4.000,True,peck|wait=28.86|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.894,-3.000,0.103,4.000,True,peck|wait=28.86|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=144.8|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
