time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister,charIndex,heroMode,roomPick,castAge
14.582920751269,0.01999664,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.4887416241497,14.8846380043651,0.0166646,3.5,-8,0,7,1,5,1,5,-1
14.6373939122981,0.07998657,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.5433209254535,14.9363711043651,0.0054527,3.5,-8,0,7,1,5,1,5,-1
14.6914244320244,0.8598557,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.5973831207483,14.9892436043651,0.004544296,3.5,-8,0,7,1,5,1,5,-1
14.7422287367797,0.9198456,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.648228422619,15.0404584043651,0.007008496,3.5,-8,0,7,1,5,1,5,-1
14.7935553522757,0.9598389,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.6995154195011,15.0920273043651,0.004731994,3.5,-8,0,7,1,5,1,5,-1
14.8455866931146,1.019829,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.7515264243197,15.1434055043651,0.00375,3.5,-8,0,7,1,5,1,5,-1
14.8997920340579,1.079819,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.8052687216553,15.1975004043651,0.004306498,3.5,-8,0,7,1,5,1,5,-1
14.9527005819255,1.099815,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.857653422619,15.2493090043651,0.003374398,3.5,-8,0,7,1,5,1,5,-1
15.0050449411431,1.159805,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.9094795209751,15.3015604043651,0.003976098,3.5,-8,0,7,1,5,1,5,-1
15.0558952130331,1.199799,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,11.9598263251134,15.3518426043651,0.004165001,3.5,-8,0,7,1,5,1,5,-1
15.1104445034615,1.259789,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.0138355229592,15.4058713043651,0.005903501,3.5,-8,0,7,1,5,1,5,-1
15.1646427194495,1.319778,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.0674971230159,15.4592703043651,0.005687103,3.5,-8,0,7,1,5,1,5,-1
15.2158968841261,1.359772,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.1182438208617,15.5099936043651,0.004746499,3.5,-8,0,7,1,5,1,5,-1
15.2682771001454,1.419762,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.1701054209184,15.5616851043651,0.002408397,3.5,-8,0,7,1,5,1,5,-1
15.3185619739629,1.459755,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,12.2198924248866,15.6118107043651,0.003245904,3.5,-8,0,7,1,5,1,5,-1
