01-startup,1366,768,Windowed
02-home,1366,768,Windowed
03-settings,1366,768,Windowed
Settings-player-1280x720,1280,720,Windowed
Settings-player-1280x960,1280,960,Windowed
Settings-unrecognised-controller,1366,768,Windowed
Controller-map-960x540,960,540,Windowed
Controller-map-1366x768,1366,768,Windowed
Controller-map-1920x1080,1920,1080,Windowed
Controller-bindings,1366,768,Windowed
Classic-loadout-960x540,960,540,Windowed
Classic-loadout-1366x768,1366,768,Windowed
Classic-loadout-1920x1080,1920,1080,Windowed
Classic-equipment-1,1366,768,Windowed
Classic-equipment-2,1366,768,Windowed
ClassicButton-setup,1366,768,Windowed
ClassicButton-hud,1366,768,Windowed
ClassicButton-pause,1366,768,Windowed
ClassicButton-result,1366,768,Windowed
ClassicButton-details,1366,768,Windowed
Classic-rematch,1366,768,Windowed
Hero-loadout-960x540,960,540,Windowed
Hero-loadout-1366x768,1366,768,Windowed
Hero-loadout-1920x1080,1920,1080,Windowed
Hero-equipment-1,1366,768,Windowed
Hero-equipment-2,1366,768,Windowed
HeroStrikeButton-setup,1366,768,Windowed
HeroStrikeButton-hud,1366,768,Windowed
HeroStrikeButton-pause,1366,768,Windowed
HeroStrikeButton-result,1366,768,Windowed
HeroStrikeButton-details,1366,768,Windowed
