time,elapsed,local,host,s1charges,s2active,s2cooldown,ultcharge,casterX,casterY,casterZ,frontX,frontY,frontZ,rearX,rearY,rearZ,frontTrip,frontStun,casterStun,ward,pillars,shoeX,shoeY,shoeZ,guardTested,afterTested,tremor,plating,orbitStones,rumble,pendingReview,pendingRefreshed,expiredRefreshed,windup,impactBirths,heroIndex,casterPick,casterMode,ultActive,ultRemaining,impactX,impactY,impactZ,impactHeld
18.554554611252,0.01999664,2,0,0,0,0,20,0,0.01000617,-8,0,0.12,-5.5,0,0.01001208,-9.3,0,0,0,0,0,1.8,0.145,9,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.6047312771839,0.4799194,2,0,0,0,0,20,0,0.01000081,-8,0,0.12,-5.5,0,0.01000159,-9.3,0,0,0,0,0,1.8,0.145,9,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.6713980796312,0.5399094,2,0,0,0,0,20,0,0.0100001,-8,0,0.12,-5.5,0,0.0100002,-9.3,0,0,0,0,0,1.8,0.145,9,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.7380648860646,0.5998993,2,0,0,0,0,20,0,0.01000001,-8,0,0.12,-5.5,0,0.01000002,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.7890031142098,0.6598892,2,0,0,0,0,20,0,0.009999999,-8,0,0.12,-5.5,0,0.01,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.8391697810528,0.7198792,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.9059894339492,0.7798691,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
18.9564476941091,0.8198624,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
19.0069477964503,0.8798523,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
19.0574478969102,0.9198456,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
19.1080844478806,0.9798355,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
19.1592456930255,1.019829,2,0,0,0,0,20,0,0.009999998,-8,0,0.12,-5.5,0,0.009999998,-9.3,0,0,0,0,0,-1,0.1918,-8,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0
