01-startup,1366,768,Windowed
02-home,1366,768,Windowed
03-settings,1366,768,Windowed
ClassicButton-setup,1366,768,Windowed
ClassicButton-hud,1366,768,Windowed
ClassicButton-pause,1366,768,Windowed
ClassicButton-result,1366,768,Windowed
ClassicButton-details,1366,768,Windowed
Classic-rematch,1366,768,Windowed
HeroStrikeButton-setup,1366,768,Windowed
HeroStrikeButton-hud,1366,768,Windowed
HeroStrikeButton-pause,1366,768,Windowed
HeroStrikeButton-result,1366,768,Windowed
HeroStrikeButton-details,1366,768,Windowed
