poses=392 noSunShadow=0
hub route: arena on screen 1.85 s after StartMatch
map=IlalimNgTulay screen=2940x1912 device=Metal quality=All/2/40 msaa=0 sun=Sun
camera Main Camera depth=0 target=False hdr=True msaa=True depthMode=DepthNormals near=0.05
-12,-12,0,0.4899,0.5956,-0.1058
-12,-12,45,0.4839,0.5690,-0.0851
-12,-12,90,0.5103,0.5676,-0.0573
-12,-12,135,0.4757,0.5280,-0.0523
-12,-12,180,0.4331,0.4843,-0.0512
-12,-12,225,0.4250,0.5113,-0.0863
-12,-12,270,0.4342,0.5476,-0.1133
-12,-12,315,0.4572,0.5920,-0.1348
-12,-8,0,0.4519,0.5442,-0.0923
-12,-8,45,0.4879,0.5591,-0.0711
-12,-8,90,0.5194,0.5764,-0.0569
-12,-8,135,0.4620,0.5060,-0.0439
-12,-8,180,0.4416,0.4995,-0.0579
-12,-8,225,0.3883,0.4684,-0.0801
-12,-8,270,0.4011,0.5024,-0.1013
-12,-8,315,0.4044,0.5143,-0.1099
-12,-4,0,0.4854,0.5477,-0.0623
-12,-4,45,0.4911,0.5488,-0.0577
-12,-4,90,0.4823,0.5472,-0.0649
-12,-4,135,0.4848,0.5361,-0.0513
-12,-4,180,0.4608,0.5198,-0.0590
-12,-4,225,0.4573,0.5162,-0.0588
-12,-4,270,0.4395,0.5065,-0.0671
-12,-4,315,0.5027,0.5629,-0.0601
-12,0,0,0.4722,0.5385,-0.0663
-12,0,45,0.5420,0.5894,-0.0474
-12,0,90,0.5147,0.5646,-0.0500
-12,0,135,0.4785,0.5267,-0.0482
-12,0,180,0.4420,0.4929,-0.0509
-12,0,225,0.3850,0.4413,-0.0563
-12,0,270,0.3639,0.4447,-0.0808
-12,0,315,0.4430,0.5248,-0.0819
-12,4,0,0.4949,0.5604,-0.0654
-12,4,45,0.5391,0.5924,-0.0533
-12,4,90,0.4912,0.5432,-0.0519
-12,4,135,0.5052,0.5520,-0.0468
-12,4,180,0.4377,0.4743,-0.0366
-12,4,225,0.4819,0.5242,-0.0423
-12,4,270,0.3949,0.4519,-0.0570
-12,4,315,0.5034,0.5681,-0.0647
-12,8,0,0.4505,0.5402,-0.0897
-12,8,45,0.5002,0.5720,-0.0718
-12,8,90,0.4524,0.4928,-0.0404
-12,8,135,0.4948,0.5470,-0.0522
-12,8,180,0.4338,0.5011,-0.0673
-12,8,225,0.4200,0.5125,-0.0924
-12,8,270,0.3979,0.5107,-0.1128
-12,8,315,0.4227,0.5352,-0.1126
-12,12,0,0.4547,0.5513,-0.0965
-12,12,45,0.4978,0.5777,-0.0798
-12,12,90,0.5338,0.5937,-0.0599
-12,12,135,0.4766,0.5177,-0.0410
-12,12,180,0.4613,0.4957,-0.0344
-12,12,225,0.4197,0.4767,-0.0570
-12,12,270,0.3933,0.4680,-0.0747
-12,12,315,0.4051,0.5029,-0.0978
-8,-12,0,0.5126,0.5773,-0.0647
-8,-12,45,0.5320,0.6015,-0.0695
-8,-12,90,0.4403,0.5160,-0.0757
-8,-12,135,0.4880,0.5502,-0.0623
-8,-12,180,0.4813,0.5478,-0.0665
-8,-12,225,0.5263,0.5934,-0.0670
-8,-12,270,0.4895,0.5542,-0.0647
-8,-12,315,0.5748,0.6461,-0.0714
-8,-8,0,0.5253,0.5982,-0.0729
-8,-8,45,0.5324,0.6054,-0.0730
-8,-8,90,0.4359,0.5116,-0.0757
-8,-8,135,0.5061,0.5670,-0.0609
-8,-8,180,0.4737,0.5302,-0.0565
-8,-8,225,0.5226,0.5775,-0.0549
-8,-8,270,0.5263,0.5848,-0.0585
-8,-8,315,0.5611,0.6262,-0.0652
-8,-4,0,0.4947,0.5775,-0.0828
-8,-4,45,0.5228,0.6013,-0.0785
-8,-4,90,0.4459,0.5262,-0.0802
-8,-4,135,0.5015,0.5689,-0.0674
-8,-4,180,0.5204,0.5816,-0.0612
-8,-4,225,0.5702,0.6370,-0.0668
-8,-4,270,0.5077,0.5762,-0.0685
-8,-4,315,0.5712,0.6475,-0.0763
-8,0,0,0.5426,0.6190,-0.0764
-8,0,45,0.5293,0.6040,-0.0746
-8,0,90,0.4458,0.5317,-0.0859
-8,0,135,0.4925,0.5658,-0.0733
-8,0,180,0.4717,0.5445,-0.0727
-8,0,225,0.5234,0.5891,-0.0657
-8,0,270,0.4667,0.5297,-0.0630
-8,0,315,0.5563,0.6220,-0.0657
-8,4,0,0.5404,0.5987,-0.0582
-8,4,45,0.5519,0.6247,-0.0728
-8,4,90,0.4619,0.5487,-0.0868
-8,4,135,0.5009,0.5750,-0.0741
-8,4,180,0.5029,0.5735,-0.0706
-8,4,225,0.5530,0.6123,-0.0593
-8,4,270,0.5173,0.5759,-0.0586
-8,4,315,0.5588,0.6211,-0.0623
-8,8,0,0.4940,0.5640,-0.0700
-8,8,45,0.5504,0.6186,-0.0682
-8,8,90,0.4541,0.5316,-0.0775
-8,8,135,0.5100,0.5744,-0.0644
-8,8,180,0.5328,0.5910,-0.0582
-8,8,225,0.5593,0.6166,-0.0573
-8,8,270,0.4983,0.5638,-0.0656
-8,8,315,0.5626,0.6313,-0.0687
-8,12,0,0.5364,0.6117,-0.0752
