real_seconds,scale
0.000509,1.023943
0.003674,1.023288
0.007044,1.022650
0.010382,1.022030
0.013546,1.021427
0.016865,1.020841
0.020267,1.020271
0.023849,1.019713
0.026947,1.019173
0.030128,1.018649
0.033558,1.018138
0.036749,1.017642
0.040157,1.017159
0.043667,1.016687
0.047081,1.016230
0.050537,1.015786
0.053644,1.015354
0.056940,1.014934
0.060230,1.014525
0.063522,1.014128
0.066774,1.013741
0.070229,1.013364
0.073547,1.012998
0.076744,1.012642
0.080214,1.012295
0.083492,1.011958
0.086807,1.011631
0.090307,1.011313
0.093512,1.011003
0.096745,1.010702
0.100187,1.010408
0.103569,1.010122
0.106840,1.009845
0.110256,1.009576
0.113529,1.009313
0.116793,1.009058
0.120232,1.008810
0.123474,1.008569
0.126696,1.008334
0.130142,1.008106
0.133612,1.007883
0.136784,1.007667
0.140223,1.007457
0.143601,1.007253
0.146849,1.007054
0.150223,1.006861
0.153391,1.006673
0.156841,1.006491
0.160154,1.006313
0.163544,1.006139
0.166863,1.005971
0.170141,1.005808
0.173849,1.005648
0.177010,1.005493
0.180409,1.005343
0.183609,1.005196
0.186888,1.005054
0.190359,1.004916
0.193861,1.004781
0.196962,1.004650
0.200338,1.004523
0.203539,1.004399
0.206865,1.004279
0.210465,1.004162
0.213720,1.004048
0.217100,1.003937
0.220390,1.003829
0.223528,1.003724
0.226738,1.003623
0.230129,1.003523
0.233343,1.003427
0.236937,1.003332
0.240372,1.003241
0.243801,1.003153
0.246933,1.003066
0.250254,1.002982
0.253418,1.002900
0.256781,1.002821
0.260344,1.002743
0.263609,1.002668
0.266842,1.002595
0.270170,1.002524
0.273647,1.002455
0.276939,1.002387
0.280142,1.002322
0.283487,1.002259
0.286936,1.002197
0.290102,1.002136
0.293322,1.002078
0.297010,1.002021
0.300215,1.001966
0.303463,1.001912
0.306898,1.001859
0.310129,1.001809
0.313278,1.001759
0.316896,1.001711
0.320288,1.001664
0.323504,1.001618
0.326786,1.001574
0.330256,1.001531
0.333509,1.001489
0.336819,1.001448
0.340195,1.001409
0.343571,1.001370
0.346787,1.001332
0.350231,1.001296
0.353430,1.001260
0.356850,1.001226
0.360294,1.001192
0.363514,1.001160
0.366753,1.001128
0.370533,1.001097
0.373648,1.001067
0.376967,1.001037
0.380291,1.001009
0.383682,1.000981
0.387011,1.000955
0.390743,1.000929
0.393530,1.000903
0.396658,1.000878
0.400518,1.000854
0.403776,1.000831
0.407084,1.000808
0.410223,1.000786
0.413651,1.000764
0.416788,1.000744
0.420221,1.000723
0.423550,1.000703
0.426798,1.000684
0.430149,1.000665
0.433577,1.000647
0.436770,1.000629
0.440254,1.000612
0.443380,1.000595
0.446878,1.000579
0.450300,1.000563
0.453667,1.000548
0.456924,1.000533
0.460316,1.000518
0.463701,1.000504
0.466820,1.000490
0.470179,1.000477
0.473522,1.000463
0.476883,1.000451
0.480255,1.000438
0.483410,1.000426
0.486797,1.000415
0.490259,1.000403
0.493557,1.000392
0.496763,1.000382
0.500197,1.000371
0.503555,1.000361
0.506865,1.000351
0.510252,1.000341
0.513390,1.000332
0.516954,1.000323
0.520130,1.000314
0.523869,1.000306
0.527039,1.000297
0.530289,1.000289
0.533522,1.000281
0.536978,1.000274
0.540285,1.000266
0.543421,1.000259
0.546850,1.000252
0.550406,1.000245
0.553623,1.000238
0.556877,1.000232
0.560425,1.000225
0.563808,1.000219
0.566866,1.000213
0.570400,1.000207
0.573811,1.000201
0.576872,1.000196
0.580305,1.000191
0.583666,1.000185
0.586855,1.000180
0.590395,1.000175
0.593699,1.000170
0.596951,1.000166
0.600559,1.000161
0.603571,1.000157
0.606844,1.000153
0.610130,1.000148
0.613510,1.000144
0.616797,1.000140
0.620245,1.000137
0.623583,1.000133
0.626997,1.000129
0.630428,1.000126
0.633705,1.000122
0.636797,1.000119
0.640080,1.000116
0.643404,1.000112
0.646893,1.000109
0.650074,1.000106
0.653286,1.000103
0.656971,1.000101
0.660212,1.000098
0.663406,1.000095
0.666763,1.000093
0.670193,1.000090
0.673510,1.000088
0.676868,1.000085
0.680311,1.000083
0.683355,1.000081
0.686667,1.000078
0.690260,1.000076
0.693556,1.000074
0.696714,1.000072
0.700258,1.000070
