frame,real_seconds,art_scale,target_scale,dust_vertices
0,0.001073,1.000000,1.000000,208
1,0.031281,1.000000,1.000000,208
2,0.060027,1.000000,1.000000,208
3,0.060337,1.000000,1.000000,208
4,0.063409,1.000000,1.000000,208
5,0.066772,1.000000,1.000000,208
6,0.070096,1.000000,1.000000,208
7,0.073389,1.000000,1.000000,208
8,0.096551,1.000000,1.000000,208
9,0.119877,1.000000,1.000000,208
10,0.120190,1.000000,1.000000,208
11,0.123382,1.000000,1.000000,208
12,0.126841,1.000000,1.000000,208
13,0.130087,1.000000,1.000000,208
14,0.133481,1.000000,1.000000,208
15,0.136717,1.000000,1.000000,208
16,0.140036,1.000000,1.000000,208
17,0.143377,1.000000,1.000000,208
18,0.167206,1.000000,1.000000,208
19,0.191449,1.000000,1.000000,208
20,0.191761,1.000000,1.000000,208
21,0.193367,1.000000,1.000000,208
22,0.196723,1.000000,1.000000,208
23,0.200033,1.000000,1.000000,208
24,0.203399,1.000000,1.000000,208
25,0.206707,1.000000,1.000000,208
26,0.210194,1.000000,1.000000,208
27,0.233265,1.000000,1.000000,208
28,0.256826,1.000000,1.000000,208
29,0.257118,1.000000,1.000000,208
30,0.260047,1.000000,1.000000,208
31,0.263419,1.000000,1.000000,208
32,0.266728,1.000000,1.000000,208
33,0.270039,1.000000,1.000000,208
34,0.273461,1.000000,1.000000,208
35,0.276732,1.000000,1.000000,208
36,0.299947,1.000000,1.000000,208
37,0.323380,1.000000,1.000000,208
38,0.323633,1.000000,1.000000,208
39,0.326737,1.000000,1.000000,208
40,0.330212,1.000000,1.000000,208
41,0.333386,1.000000,1.000000,208
42,0.336769,1.000000,1.000000,208
43,0.340263,1.000000,1.000000,208
44,0.343372,1.000000,1.000000,208
45,0.367555,1.000000,1.000000,208
46,0.390697,1.000000,1.000000,208
47,0.390956,1.000000,1.000000,208
48,0.393371,1.000000,1.000000,208
49,0.396720,1.000000,1.000000,208
50,0.400071,1.000000,1.000000,208
51,0.403378,1.000000,1.000000,208
52,0.406690,1.000000,1.000000,208
53,0.410153,1.000000,1.000000,208
54,0.413402,1.000000,1.000000,208
55,0.436572,1.000000,1.000000,208
56,0.460125,1.000000,1.000000,208
57,0.460392,1.000000,1.000000,208
58,0.463376,1.000000,1.000000,208
59,0.466773,1.000000,1.000000,208
60,0.470128,1.000000,1.000000,208
61,0.473439,1.000000,1.000000,208
62,0.476736,1.000000,1.000000,208
63,0.480192,1.000000,1.000000,208
64,0.483390,1.000000,1.000000,208
65,0.506637,1.001353,1.000000,208
66,0.530509,1.006063,1.000000,208
67,0.530844,1.006581,1.000000,208
68,0.533427,1.007086,1.000000,208
69,0.536804,1.008972,1.000000,208
70,0.540102,1.009411,1.000000,208
71,0.543423,1.009838,1.000000,208
72,0.546758,1.010253,1.000000,208
73,0.550195,1.010656,1.000000,208
74,0.553453,1.011050,1.000000,208
75,0.577289,1.011804,1.000000,208
76,0.601523,1.014432,1.000000,208
77,0.601870,1.014722,1.000000,208
78,0.603435,1.015003,1.000000,208
79,0.606772,1.016056,1.000000,208
80,0.610095,1.016300,1.000000,208
81,0.613423,1.016538,1.000000,208
