person,shoe,worst_vertices,charge,spin
bayan,tsinelas,0,0,0
bayan,crocs,0,0,0
bayan,pantulog,0,0,0
bayan,sike,0,0,0
bayan,spartan,0,0,0
bayan,alpombra,0,0,0
bayan,pambahay,0,0,0
bayan,heels,0,0,0
bayan,sandals,0,0,0
bayan,loafers,0,0,0
maring,tsinelas,0,0,0
maring,crocs,0,0,0
maring,pantulog,0,0,0
maring,sike,0,0,0
maring,spartan,0,0,0
maring,alpombra,0,0,0
maring,pambahay,0,0,0
maring,heels,0,0,0
maring,sandals,0,0,0
maring,loafers,0,0,0
totoy,tsinelas,0,0,0
totoy,crocs,0,0,0
totoy,pantulog,0,0,0
totoy,sike,0,0,0
totoy,spartan,0,0,0
totoy,alpombra,0,0,0
totoy,pambahay,0,0,0
totoy,heels,0,0,0
totoy,sandals,0,0,0
totoy,loafers,0,0,0
inday,tsinelas,0,0,0
inday,crocs,0,0,0
inday,pantulog,0,0,0
inday,sike,0,0,0
inday,spartan,0,0,0
inday,alpombra,0,0,0
inday,pambahay,0,0,0
inday,heels,0,0,0
inday,sandals,0,0,0
inday,loafers,0,0,0
kuya_boy,tsinelas,0,0,0
kuya_boy,crocs,0,0,0
kuya_boy,pantulog,0,0,0
kuya_boy,sike,0,0,0
kuya_boy,spartan,0,0,0
kuya_boy,alpombra,0,0,0
kuya_boy,pambahay,0,0,0
kuya_boy,heels,0,0,0
kuya_boy,sandals,0,0,0
kuya_boy,loafers,0,0,0
ate_girlie,tsinelas,0,0,0
ate_girlie,crocs,0,0,0
ate_girlie,pantulog,0,0,0
ate_girlie,sike,0,0,0
ate_girlie,spartan,0,0,0
ate_girlie,alpombra,0,0,0
ate_girlie,pambahay,0,0,0
ate_girlie,heels,0,0,0
ate_girlie,sandals,0,0,0
ate_girlie,loafers,0,0,0
tikboy,tsinelas,0,0,0
tikboy,crocs,0,0,0
tikboy,pantulog,0,0,0
tikboy,sike,0,0,0
tikboy,spartan,0,0,0
tikboy,alpombra,0,0,0
tikboy,pambahay,0,0,0
tikboy,heels,0,0,0
tikboy,sandals,0,0,0
tikboy,loafers,0,0,0
bebang,tsinelas,0,0,0
bebang,crocs,0,0,0
bebang,pantulog,0,0,0
bebang,sike,0,0,0
bebang,spartan,0,0,0
bebang,alpombra,0,0,0
bebang,pambahay,0,0,0
bebang,heels,0,0,0
bebang,sandals,0,0,0
bebang,loafers,0,0,0
jun_jun,tsinelas,0,0,0
jun_jun,crocs,0,0,0
jun_jun,pantulog,0,0,0
jun_jun,sike,0,0,0
jun_jun,spartan,0,0,0
jun_jun,alpombra,0,0,0
jun_jun,pambahay,0,0,0
jun_jun,heels,0,0,0
jun_jun,sandals,0,0,0
jun_jun,loafers,0,0,0
lola_pacing,tsinelas,0,0,0
lola_pacing,crocs,0,0,0
lola_pacing,pantulog,0,0,0
lola_pacing,sike,0,0,0
lola_pacing,spartan,0,0,0
lola_pacing,alpombra,0,0,0
lola_pacing,pambahay,0,0,0
lola_pacing,heels,0,0,0
lola_pacing,sandals,0,0,0
lola_pacing,loafers,0,0,0
mang_kanor,tsinelas,0,0,0
mang_kanor,crocs,0,0,0
mang_kanor,pantulog,0,0,0
mang_kanor,sike,0,0,0
mang_kanor,spartan,0,0,0
mang_kanor,alpombra,0,0,0
mang_kanor,pambahay,0,0,0
mang_kanor,heels,0,0,0
mang_kanor,sandals,0,0,0
mang_kanor,loafers,0,0,0
aling_nena,tsinelas,0,0,0
aling_nena,crocs,0,0,0
aling_nena,pantulog,0,0,0
aling_nena,sike,0,0,0
aling_nena,spartan,0,0,0
aling_nena,alpombra,0,0,0
aling_nena,pambahay,0,0,0
aling_nena,heels,0,0,0
aling_nena,sandals,0,0,0
aling_nena,loafers,0,0,0
dante,tsinelas,0,0,0
dante,crocs,0,0,0
dante,pantulog,0,0,0
dante,sike,0,0,0
dante,spartan,0,0,0
dante,alpombra,0,0,0
dante,pambahay,0,0,0
dante,heels,0,0,0
dante,sandals,0,0,0
dante,loafers,0,0,0
cheska,tsinelas,0,0,0
cheska,crocs,0,0,0
cheska,pantulog,0,0,0
cheska,sike,0,0,0
cheska,spartan,0,0,0
cheska,alpombra,0,0,0
cheska,pambahay,0,0,0
cheska,heels,0,0,0
cheska,sandals,0,0,0
cheska,loafers,0,0,0
sean,tsinelas,0,0,0
sean,crocs,0,0,0
sean,pantulog,0,0,0
sean,sike,0,0,0
sean,spartan,0,0,0
sean,alpombra,0,0,0
sean,pambahay,0,0,0
sean,heels,0,0,0
sean,sandals,0,0,0
sean,loafers,0,0,0
zack,tsinelas,0,0,0
zack,crocs,0,0,0
zack,pantulog,0,0,0
zack,sike,0,0,0
zack,spartan,0,0,0
zack,alpombra,0,0,0
zack,pambahay,0,0,0
zack,heels,0,0,0
zack,sandals,0,0,0
zack,loafers,0,0,0
nemu,tsinelas,0,0,0
nemu,crocs,0,0,0
nemu,pantulog,0,0,0
nemu,sike,0,0,0
nemu,spartan,0,0,0
nemu,alpombra,0,0,0
nemu,pambahay,0,0,0
nemu,heels,0,0,0
nemu,sandals,0,0,0
nemu,loafers,0,0,0
phaister,tsinelas,0,0,0
phaister,crocs,0,0,0
phaister,pantulog,0,0,0
phaister,sike,0,0,0
phaister,spartan,0,0,0
phaister,alpombra,0,0,0
phaister,pambahay,0,0,0
phaister,heels,0,0,0
phaister,sandals,0,0,0
phaister,loafers,0,0,0
