time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
11.2313,0.0000,0,1,1,1,-1.0000,0.0000,-0.007,-2.442,1,0.0000,-1.8000,9.0000
11.2820,0.0507,0,1,1,1,-1.0000,0.0000,-0.273,-5.843,1,0.0000,-1.8000,9.0000
11.3327,0.1014,0,1,1,1,-1.0000,0.0000,-1.356,-0.671,1,0.0000,-1.8000,9.0000
11.3833,0.1520,0,1,1,1,-1.0000,0.0000,-1.578,-4.678,1,0.0000,-1.8000,9.0000
11.4343,0.2030,0,1,1,1,-1.0000,0.0000,-0.745,-2.934,1,0.0000,-1.8000,9.0000
11.4853,0.2539,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.5358,0.3045,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.5863,0.3550,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.6373,0.4060,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.6887,0.4574,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.7393,0.5080,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.7897,0.5584,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.8406,0.6093,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.8911,0.6598,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.9415,0.7102,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.9916,0.7603,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.0421,0.8108,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.0921,0.8608,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.1432,0.9119,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.1943,0.9630,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.2448,1.0135,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.2957,1.0644,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.3466,1.1153,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.3973,1.1660,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
