time,elapsed,local,host,cheska,firstPredicted,secondPredicted,firstDenied,secondDenied,qcharges,echarges,sheets,walls,colliders,sheetX,sheetZ,wallX,wallZ,casterX,casterZ
12.4392524619276,0.01999664,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.4897537720452,0.05998993,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.540283974732,0.1199799,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.5908399282644,0.1599731,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.6413408376711,0.4799194,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.6918418467852,0.5199127,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.7423424551884,0.5799026,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.792843155774,0.6198959,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.8433444734166,0.6798859,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.8938873934994,0.7198792,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.9443882013174,0.7798691,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
12.9948890110167,0.8198624,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.0453898188348,0.8798523,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.0958908298301,0.9198456,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.1464098182569,0.9798355,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.196909719302,1.019829,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.2474107265348,1.079819,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.2979115343528,1.119812,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.3484122424635,1.179802,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.3989128508667,1.219795,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.449413660566,1.279785,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.4999146677988,1.319778,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.5500820284026,1.379768,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.6167495321358,1.439758,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.6834548956218,1.499748,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
13.7501216965045,1.579735,2,0,1,0,0,0,0,2,1,0,0,0,NaN,NaN,NaN,NaN,0,-8
