map,mode,quality,view,static_batch_renderers,finished_materials
Eskinita,Classic,0,0-court,562,94
Eskinita,Classic,0,0-edge,562,94
Eskinita,Classic,0,1-court,562,94
Eskinita,Classic,0,1-edge,562,94
Eskinita,Classic,1,0-court,562,94
Eskinita,Classic,1,0-edge,562,94
Eskinita,Classic,1,1-court,562,94
Eskinita,Classic,1,1-edge,562,94
Eskinita,Classic,2,0-court,562,94
Eskinita,Classic,2,0-edge,562,94
Eskinita,Classic,2,1-court,562,94
Eskinita,Classic,2,1-edge,562,94
BayanPlaza,Classic,0,0-court,210,86
BayanPlaza,Classic,0,0-edge,210,86
BayanPlaza,Classic,0,1-court,210,86
BayanPlaza,Classic,0,1-edge,210,86
BayanPlaza,Classic,1,0-court,210,86
BayanPlaza,Classic,1,0-edge,210,86
BayanPlaza,Classic,1,1-court,210,86
BayanPlaza,Classic,1,1-edge,210,86
BayanPlaza,Classic,2,0-court,210,86
BayanPlaza,Classic,2,0-edge,210,86
BayanPlaza,Classic,2,1-court,210,86
BayanPlaza,Classic,2,1-edge,210,86
IlalimNgTulay,Classic,0,0-court,444,109
IlalimNgTulay,Classic,0,0-edge,444,109
IlalimNgTulay,Classic,0,1-court,444,109
IlalimNgTulay,Classic,0,1-edge,444,109
IlalimNgTulay,Classic,1,0-court,444,109
IlalimNgTulay,Classic,1,0-edge,444,109
IlalimNgTulay,Classic,1,1-court,444,109
IlalimNgTulay,Classic,1,1-edge,444,109
IlalimNgTulay,Classic,2,0-court,444,109
IlalimNgTulay,Classic,2,0-edge,444,109
IlalimNgTulay,Classic,2,1-court,444,109
IlalimNgTulay,Classic,2,1-edge,444,109
