time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ
22.4376403273561,0.01999664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.4902787222934,0.7998657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.5407225895335,0.8598557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.5917629332037,0.9198456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.6442322383111,0.9598389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.6968950881634,1.019829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.7485323008092,1.059822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.8013514265663,1.099815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.8518841417355,1.159805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.9037776689057,1.199799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
22.9549813922762,1.279785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.0090410337981,1.339775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.0598797897191,1.379768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.1140716354863,1.439758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.1651557900605,1.459755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.21568448095,1.519745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.2663284131663,1.559738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.3196117157035,1.619728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.3711264075956,1.679718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.4215954302356,1.719711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
23.4728043990757,1.779701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
