time,speed,charging,power,yaw,pitch,held
0.0013,0.0000,False,0.0000,0.00000,0.00000,True
0.1333,2.0000,False,0.0000,0.00000,0.00000,True
0.1737,2.0000,False,0.0000,0.00000,0.00000,True
0.1751,2.0000,False,0.0000,0.00000,0.00000,True
0.1765,2.0000,False,0.0000,0.00000,0.00000,True
0.1784,2.0000,False,0.0000,0.00000,0.00000,True
0.1798,2.0000,False,0.0000,0.00000,0.00000,True
0.1809,2.0000,False,0.0000,0.00000,0.00000,True
0.1820,2.0000,False,0.0000,0.00000,0.00000,True
0.1837,2.0000,False,0.0000,0.00000,0.00000,True
0.2262,2.0000,False,0.0000,0.00000,0.00000,True
0.2279,2.0000,False,0.0000,0.00000,0.00000,True
0.2289,2.0000,False,0.0000,0.00000,0.00000,True
0.2305,2.0000,False,0.0000,0.00000,0.00000,True
0.2323,2.0000,False,0.0000,0.00000,0.00000,True
0.2338,2.0000,False,0.0000,0.00000,0.00000,True
0.2727,2.0000,False,0.0000,0.00000,0.00000,True
0.2748,2.0000,False,0.0000,0.00000,0.00000,True
0.2763,2.0000,False,0.0000,0.00000,0.00000,True
0.2776,2.0000,False,0.0000,0.00000,0.00000,True
0.2789,2.0000,False,0.0000,0.00000,0.00000,True
0.2803,2.0000,False,0.0000,0.00000,0.00000,True
0.2818,2.0000,False,0.0000,0.00000,0.00000,True
0.2831,2.0000,False,0.0000,0.00000,0.00000,True
0.2851,2.0000,False,0.0000,0.00000,0.00000,True
0.3262,2.0000,False,0.0000,0.00000,0.00000,True
0.3275,2.0000,False,0.0000,0.00000,0.00000,True
0.3293,2.0000,False,0.0000,0.00000,0.00000,True
0.3309,2.0000,False,0.0000,0.00000,0.00000,True
0.3318,2.0000,False,0.0000,0.00000,0.00000,True
0.3328,2.0000,False,0.0000,0.00000,0.00000,True
0.3338,2.0000,False,0.0000,0.00000,0.00000,True
0.3352,2.0000,False,0.0000,0.00000,0.00000,True
0.3767,2.0000,False,0.0000,0.00000,0.00000,True
0.3786,2.0000,False,0.0000,0.00000,0.00000,True
0.3798,2.0000,False,0.0000,0.00000,0.00000,True
0.3807,2.0000,False,0.0000,0.00000,0.00000,True
0.3817,2.0000,False,0.0000,0.00000,0.00000,True
0.3829,2.0000,False,0.0000,0.00000,0.00000,True
0.3848,2.0000,False,0.0000,0.00000,0.00000,True
0.3860,2.0000,False,0.0000,0.00000,0.00000,True
0.4288,2.0000,False,0.0000,0.00000,0.00000,True
0.4306,2.0000,False,0.0000,0.00000,0.00000,True
0.4321,2.0000,False,0.0000,0.00000,0.00000,True
0.4336,2.0000,False,0.0000,0.00000,0.00000,True
0.4346,2.0000,False,0.0000,0.00000,0.00000,True
0.4355,2.0000,False,0.0000,0.00000,0.00000,True
0.4364,2.0000,False,0.0000,0.00000,0.00000,True
0.4843,2.0000,False,0.0000,0.00000,0.00000,True
0.4863,2.0000,False,0.0000,0.00000,0.00000,True
0.4879,2.0000,False,0.0000,0.00000,0.00000,True
0.5284,2.0000,False,0.0000,0.00000,0.00000,True
0.5307,2.0000,True,0.0000,0.49831,0.42633,True
0.5377,2.0000,True,0.0030,0.53172,0.41233,True
0.5395,2.0000,True,0.0039,0.54076,0.40792,True
0.5786,2.0000,True,0.0192,0.64094,0.31598,True
0.5801,2.0000,True,0.0201,0.64325,0.31024,True
0.5814,2.0000,True,0.0206,0.64446,0.30676,True
0.5831,2.0000,True,0.0212,0.64571,0.30265,True
0.5849,2.0000,True,0.0220,0.64695,0.29774,True
0.5862,2.0000,True,0.0225,0.64768,0.29416,True
0.5872,2.0000,True,0.0229,0.64814,0.29144,True
0.5882,2.0000,True,0.0233,0.64849,0.28889,True
0.5911,2.0000,True,0.0243,0.64905,0.28244,True
0.6329,2.0000,True,0.0408,0.59206,0.18360,True
0.6345,2.0000,True,0.0418,0.58502,0.17849,True
0.6358,2.0000,True,0.0424,0.58094,0.17570,True
0.6368,2.0000,True,0.0428,0.57769,0.17355,True
0.6383,2.0000,True,0.0434,0.57325,0.17071,True
0.6395,2.0000,True,0.0439,0.56925,0.16826,True
0.6405,2.0000,True,0.0443,0.56594,0.16628,True
0.6415,2.0000,True,0.0446,0.56284,0.16448,True
0.6852,2.0000,True,0.0618,0.37681,0.10133,True
0.6873,2.0000,True,0.0629,0.36236,0.09850,True
0.6886,2.0000,True,0.0635,0.35454,0.09704,True
0.6900,2.0000,True,0.0639,0.34873,0.09599,True
0.6909,2.0000,True,0.0644,0.34204,0.09482,True
0.6924,2.0000,True,0.0649,0.33546,0.09370,True
0.7307,2.0000,True,0.0800,0.12893,0.07121,True
0.7359,2.0000,False,0.0000,0.00000,0.00000,False
0.7390,2.0000,False,0.0000,0.00000,0.00000,False
0.7403,2.0000,False,0.0000,0.00000,0.00000,False
0.7417,2.0000,False,0.0000,0.00000,0.00000,False
0.7430,2.0000,False,0.0000,0.00000,0.00000,False
0.7816,2.0000,False,0.0000,0.00000,0.00000,False
