time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ
14.2998223794426,0.01999664,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.06962212301587,8.73624340289116,0.0117791,3.5,-8,0,7
14.3500549709762,0.6998825,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.11974662698413,8.78420580289116,0.002399901,3.5,-8,0,7
14.4005125045928,0.7598724,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.17020382653061,8.83437100289116,0.002584099,3.5,-8,0,7
14.4535979719006,0.8198624,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.22331152919501,8.88758940289116,0.003290504,3.5,-8,0,7
14.5037748824351,0.8598557,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.27348712443311,8.93817450289116,0.002436402,3.5,-8,0,7
14.5557003022928,0.9198456,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.32541022534014,8.98982190289116,0.002285799,3.5,-8,0,7
14.6070898458839,0.9598389,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.37677282454649,9.04115550289116,0.002315299,3.5,-8,0,7
14.6579954347771,1.019829,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.4277027281746,9.09205420289116,0.002684205,3.5,-8,0,7
14.709621654331,1.059822,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.47931112528345,9.14361900289116,0.004129599,3.5,-8,0,7
14.759960070363,1.119812,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.52965162273243,9.19415910289116,0.002377097,3.5,-8,0,7
14.8110721450567,1.179802,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.58077612670068,9.24604480289116,0.002023703,3.5,-8,0,7
14.8616977319948,1.219795,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.63137822420635,9.29637760289116,0.0026045,3.5,-8,0,7
14.9147435416409,1.279785,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.68443942743764,9.34888400289116,0.003019203,3.5,-8,0,7
14.966943223417,1.319778,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.73682712585034,9.40122540289116,0.002515001,3.5,-8,0,7
15.0194279765605,1.379768,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.78984202806122,9.45408460289116,0.002924306,3.5,-8,0,7
15.0724966507836,1.439758,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,5.84332502834467,9.50968720289116,0.0034804,3.5,-8,0,7
